StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Consent Y/N,Consent Y/N_DO,Q110,Q110_DO,Mental,Mental_DO,MeditationExp,MeditationExp_DO,FirstLanguage,EngLevel,EngLevel_DO,Ipip1,Ipip2,Ipip3,Ipip4,Ipip5,Ipip6,Ipip7,Ipip8,Ipip9,Ipip10,Ipip11,Ipip12,Ipip13,Ipip14,Ipip15,Ipip16,Ipip17,Ipip18,Ipip19,Ipip20,lock14b_First Click,lock14b_Last Click,lock14b_Page Submit,lock14b_Click Count,lock14d_First Click,lock14d_Last Click,lock14d_Page Submit,lock14d_Click Count,lock14f_First Click,lock14f_Last Click,lock14f_Page Submit,lock14f_Click Count,lock14h_First Click,lock14h_Last Click,lock14h_Page Submit,lock14h_Click Count,Q133_First Click,Q133_Last Click,Q133_Page Submit,Q133_Click Count,Q123_First Click,Q123_Last Click,Q123_Page Submit,Q123_Click Count,Q126_First Click,Q126_Last Click,Q126_Page Submit,Q126_Click Count,Q129_First Click,Q129_Last Click,Q129_Page Submit,Q129_Click Count,Stai1,Stai2,Stai3,Stai4,Stai5,Stai6,Stai7,Stai8,Stai9,Stai10,Stai11,Stai12,Stai13,Stai14,Stai15,Stai16,Stai17,Stai18,Stai19,Stai20,Sam1,Sam2,Sam3,Age,Gender,Gender_5_TEXT,Gender_DO,CountryBirth,CountryLive,Student,Student_DO,Univ,Job,FL_166_DO,FL_123_DO,Moderator-Neuroticism_DO,DVs_DO
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"If you agree with all statements, Click YES. If you disagree with any statement, Click NO.","If you agree with all statements, Click YES. If you disagree with any statement, Click NO. - Display Order",Are you answering this survey from a smartphone with headphones or earphones attached?,Are you answering this survey from a smartphone with headphones or earphones attached? - Display Order,"Do you have - or have you had - a diagnosed, on-going mental health/illness/condition?","Do you have - or have you had - a diagnosed, on-going mental health/illness/condition? - Display Order",Have you meditated in the previous 6 months?,Have you meditated in the previous 6 months? - Display Order,What is your first language?,"Please select your English level based on this categorization:

English Basic User (A1, A2)


	Can understand and use familiar everyday expressions and very basic phrases aimed at the satisfaction of needs of a concrete type.
	Can understand sentences and frequently used expressions related to areas of most immediate relevance (e.g. very basic personal and family information, shopping, local geography, employment)


English Independent User (B1, B2)



	Can understand the main points of clear standard input on familiar matters regularly encountered in work, school, leisure, etc.
	Can understand the main ideas of complex text on both concrete and abstract topics, including technical discussions in their field of specialisation.

Proficient English User (C1, C2)


	Can understand a wide range of demanding, longer clauses and recognise implicit meaning.
	Can understand with ease virtually everything heard or read.

Native English Speaker 


	You acquired the language in early childhood and maintain the use of the language daily.","Please select your English level based on this categorization:

English Basic User (A1, A2)


	Can understand and use familiar everyday expressions and very basic phrases aimed at the satisfaction of needs of a concrete type.
	Can understand sentences and frequently used expressions related to areas of most immediate relevance (e.g. very basic personal and family information, shopping, local geography, employment)


English Independent User (B1, B2)



	Can understand the main points of clear standard input on familiar matters regularly encountered in work, school, leisure, etc.
	Can understand the main ideas of complex text on both concrete and abstract topics, including technical discussions in their field of specialisation.

Proficient English User (C1, C2)


	Can understand a wide range of demanding, longer clauses and recognise implicit meaning.
	Can understand with ease virtually everything heard or read.

Native English Speaker 


	You acquired the language in early childhood and maintain the use of the language daily. - Display Order",Often feel blue,Dislike myself,Am often down in the dumps,Have frequent mood swings,Panic easily,Am filled with doubts about things,Feel threatened easily,Get stressed out easily,Fear for the worst,Worry about things,Seldom feel blue,Feel comfortable with myself,Rarely get irritated,Am not easily bothered by things,Am very pleased with myself,Am relaxed most of the time,Seldom get mad,Am not easily frustrated,Remain calm under pressure,Rarely lose my composure,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,I feel calm,I feel secure,I am tense,I feel strained,I feel at ease,I feel upset,I am presently worrying over possible misfortunes,I feel satisfied,I feel frightened,I feel comfortable,I feel self-confident,I feel nervous,I am jittery,I feel indecisive,I am relaxed,I feel content,I am worried,I feel confused,I feel steady,I feel pleasant,Sam1,Sam2,Sam3,How old are you? (provide your age in years),Which gender identity do you most identify with? - Selected Choice,Which gender identity do you most identify with? - Not listed - Text,Which gender identity do you most identify with? - Display Order,What is your country of birth?,In which country do you currently live?,Are you a student?,Are you a student? - Display Order,What is the name of your university?,What is your job?,FL_166 - Block Randomizer - Display Order,FL_123 - Block Randomizer - Display Order,Moderator - Neuroticism - Display Order,DVs - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID102""}","{""ImportId"":""QID102_DO""}","{""ImportId"":""QID110""}","{""ImportId"":""QID110_DO""}","{""ImportId"":""QID106""}","{""ImportId"":""QID106_DO""}","{""ImportId"":""QID107""}","{""ImportId"":""QID107_DO""}","{""ImportId"":""QID108_TEXT""}","{""ImportId"":""QID109""}","{""ImportId"":""QID109_DO""}","{""ImportId"":""QID84""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID86_FIRST_CLICK""}","{""ImportId"":""QID86_LAST_CLICK""}","{""ImportId"":""QID86_PAGE_SUBMIT""}","{""ImportId"":""QID86_CLICK_COUNT""}","{""ImportId"":""QID92_FIRST_CLICK""}","{""ImportId"":""QID92_LAST_CLICK""}","{""ImportId"":""QID92_PAGE_SUBMIT""}","{""ImportId"":""QID92_CLICK_COUNT""}","{""ImportId"":""QID94_FIRST_CLICK""}","{""ImportId"":""QID94_LAST_CLICK""}","{""ImportId"":""QID94_PAGE_SUBMIT""}","{""ImportId"":""QID94_CLICK_COUNT""}","{""ImportId"":""QID96_FIRST_CLICK""}","{""ImportId"":""QID96_LAST_CLICK""}","{""ImportId"":""QID96_PAGE_SUBMIT""}","{""ImportId"":""QID96_CLICK_COUNT""}","{""ImportId"":""QID133_FIRST_CLICK""}","{""ImportId"":""QID133_LAST_CLICK""}","{""ImportId"":""QID133_PAGE_SUBMIT""}","{""ImportId"":""QID133_CLICK_COUNT""}","{""ImportId"":""QID123_FIRST_CLICK""}","{""ImportId"":""QID123_LAST_CLICK""}","{""ImportId"":""QID123_PAGE_SUBMIT""}","{""ImportId"":""QID123_CLICK_COUNT""}","{""ImportId"":""QID126_FIRST_CLICK""}","{""ImportId"":""QID126_LAST_CLICK""}","{""ImportId"":""QID126_PAGE_SUBMIT""}","{""ImportId"":""QID126_CLICK_COUNT""}","{""ImportId"":""QID129_FIRST_CLICK""}","{""ImportId"":""QID129_LAST_CLICK""}","{""ImportId"":""QID129_PAGE_SUBMIT""}","{""ImportId"":""QID129_CLICK_COUNT""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45""}","{""ImportId"":""QID46""}","{""ImportId"":""QID47""}","{""ImportId"":""QID48""}","{""ImportId"":""QID49""}","{""ImportId"":""QID50""}","{""ImportId"":""QID51""}","{""ImportId"":""QID52""}","{""ImportId"":""QID53""}","{""ImportId"":""QID54""}","{""ImportId"":""QID55""}","{""ImportId"":""QID58""}","{""ImportId"":""QID115""}","{""ImportId"":""QID116""}","{""ImportId"":""QID64_TEXT""}","{""ImportId"":""QID65""}","{""ImportId"":""QID65_5_TEXT""}","{""ImportId"":""QID65_DO""}","{""ImportId"":""QID67_TEXT""}","{""ImportId"":""QID75_TEXT""}","{""ImportId"":""QID69""}","{""ImportId"":""QID69_DO""}","{""ImportId"":""QID70_TEXT""}","{""ImportId"":""QID71_TEXT""}","{""ImportId"":""FL_166_DO""}","{""ImportId"":""FL_123_DO""}","{""ImportId"":""BL_9H87cXsNJENGBFk_DO""}","{""ImportId"":""BL_a9jsTB1l4zfuxqC_DO""}"
2022-03-15 08:36:52,2022-03-15 08:37:16,0,9,24,0,2022-03-22 08:37:18,R_3nu7XT55yiAZNDH,anonymous,WURZ,1,2|1,2,1|2,4,1|4,2,1|2,,1,5|3|1|2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-15 16:27:28,2022-03-15 16:35:41,0,10,492,0,2022-03-22 16:35:44,R_2pJoVziEEdLF04L,anonymous,AUST,1,2|1,1,2|1,4,1|4,2,2|1,TEST SURVEY,3,1|5|3|2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NeuroticismIntro|Ipip9|Ipip17|Ipip2|Ipip13|Ipip4|Ipip18|Ipip12|Ipip10|Ipip8|Ipip3|Ipip14|Ipip11|Ipip1|Ipip20|Ipip6|Ipip5|Ipip15|Ipip19|Ipip7|Ipip16,
2022-03-22 17:22:55,2022-03-22 17:50:35,0,100,1659,1,2022-03-22 17:50:35,R_RfODU2Z0XmNaM3T,anonymous,QUEE,1,1|2,1,1|2,4,1|4,2,2|1,English,3,5|2|1|3,3,4,3,3,5,4,4,5,4,5,3,2,3,2,2,2,3,3,3,3,,,,,2.415,46.834,947.579,4,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,3,2,3,4,2,1,2,2,4,3,4,2,2,4,1,2,2,5,3,3,18,2,,1|5|2|4|3|6,Australia,Australia,2,1|2,UQ,,,,NeuroticismIntro|Ipip18|Ipip9|Ipip16|Ipip17|Ipip15|Ipip19|Ipip4|Ipip8|Ipip2|Ipip10|Ipip5|Ipip1|Ipip3|Ipip6|Ipip7|Ipip14|Ipip20|Ipip12|Ipip13|Ipip11,StressIntro|Stai18|Stai8|Stai2|Stai9|Stai3|Stai17|Stai10|Stai7|Stai19|Stai4|Stai13|Stai6|Stai11|Stai5|Stai14|Stai12|Stai15|Stai20|Stai1|Stai16
2022-03-22 17:36:42,2022-03-22 18:11:17,0,100,2074,1,2022-03-22 18:11:18,R_1MWmw1PL5un03D7,anonymous,LOYO,1,1|2,1,1|2,4,4|1,2,2|1,English,3,3|2|5|1,3,3,3,3,4,3,3,3,4,4,3,3,3,2,3,3,3,3,3,3,,,,,,,,,,,,,,,,,0,0,1.117,0,955.16,955.16,956.168,1,,,,,,,,,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,3,2,2,1,2,5,5,5,999,2,,2|6|3|1|4|5,US,US,2,2|1,Lmu,,,Condition5a:Silverview,NeuroticismIntro|Ipip5|Ipip18|Ipip9|Ipip14|Ipip10|Ipip16|Ipip2|Ipip4|Ipip8|Ipip13|Ipip17|Ipip3|Ipip11|Ipip12|Ipip1|Ipip7|Ipip15|Ipip20|Ipip6|Ipip19,StressIntro|Stai18|Stai1|Stai15|Stai12|Stai19|Stai7|Stai14|Stai11|Stai4|Stai17|Stai2|Stai16|Stai6|Stai3|Stai20|Stai13|Stai10|Stai5|Stai8|Stai9
2022-03-22 17:32:35,2022-03-22 18:13:18,0,100,2442,1,2022-03-22 18:13:18,R_2zAUn0ckzeCKhKW,anonymous,INDI,1,2|1,2,2|1,4,1|4,2,2|1,english,3,1|5|2|3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-22 18:11:55,2022-03-22 18:39:42,0,100,1667,1,2022-03-22 18:39:42,R_wTs4piJ36H9AF33,anonymous,LOYO,1,1|2,1,1|2,4,1|4,2,1|2,English,3,1|3|2|5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1.624,937.587,938.158,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,5,4,4,999,2,,3|2|5|1|6|4,Usa,Usa,2,2|1,Lmu,,,,NeuroticismIntro|Ipip4|Ipip20|Ipip3|Ipip12|Ipip10|Ipip7|Ipip9|Ipip11|Ipip5|Ipip15|Ipip17|Ipip8|Ipip19|Ipip14|Ipip6|Ipip2|Ipip18|Ipip16|Ipip1|Ipip13,StressIntro|Stai10|Stai17|Stai19|Stai3|Stai20|Stai16|Stai7|Stai1|Stai12|Stai6|Stai18|Stai11|Stai14|Stai9|Stai5|Stai15|Stai4|Stai13|Stai2|Stai8
2022-03-22 18:26:51,2022-03-22 18:47:25,0,100,1233,1,2022-03-22 18:47:25,R_cCODUT3pUBZtP7H,anonymous,QUEE,1,2|1,1,1|2,4,1|4,2,2|1,English,3,3|5|1|2,3,3,2,4,4,4,2,4,2,4,3,4,4,3,3,3,3,3,3,4,,,,,1.442,714,841.67,4,,,,,,,,,,,,,,,,,,,,,,,,,4,3,1,1,4,1,1,3,1,3,3,1,1,2,4,3,2,1,4,3,7,5,6,18,2,,4|1|2|6|3|5,"Australia ","Australia ",2,2|1,University of Queenslans,,,,NeuroticismIntro|Ipip13|Ipip2|Ipip9|Ipip15|Ipip14|Ipip4|Ipip16|Ipip3|Ipip7|Ipip10|Ipip5|Ipip17|Ipip11|Ipip18|Ipip12|Ipip1|Ipip19|Ipip6|Ipip8|Ipip20,StressIntro|Stai14|Stai8|Stai15|Stai3|Stai7|Stai20|Stai19|Stai4|Stai5|Stai13|Stai2|Stai6|Stai9|Stai12|Stai17|Stai11|Stai10|Stai1|Stai16|Stai18
2022-03-22 18:25:35,2022-03-22 18:49:54,0,100,1458,1,2022-03-22 18:49:54,R_Zei3resrjM48EDv,anonymous,QUEE,1,1|2,1,2|1,4,1|4,2,2|1,English,3,3|5|1|2,4,3,4,4,5,5,4,5,5,5,2,2,2,1,2,2,4,1,4,2,,,,,,,,,213.21,900.218,901.966,3,,,,,,,,,,,,,,,,,,,,,4,3,2,1,3,1,1,4,1,2,1,2,2,1,3,4,1,1,4,4,7,2,6,18,2,,3|1|5|4|2|6,Australia,Australia,2,2|1,"University of Queensland ",,,,NeuroticismIntro|Ipip20|Ipip4|Ipip2|Ipip14|Ipip15|Ipip19|Ipip10|Ipip18|Ipip6|Ipip11|Ipip1|Ipip7|Ipip12|Ipip8|Ipip5|Ipip13|Ipip16|Ipip3|Ipip9|Ipip17,StressIntro|Stai20|Stai5|Stai8|Stai2|Stai10|Stai19|Stai11|Stai6|Stai7|Stai1|Stai15|Stai9|Stai12|Stai4|Stai16|Stai14|Stai18|Stai17|Stai3|Stai13
